"","WBID","name","mine_query","mine_noise_risk"
"75","GB106040018210","Bourne (Medway)","","medium/low"
"76","GB106040018170","Hilden Brook","Hilden Brook","medium/low"
"77","GB106040018420","Loose Stream","Loose Stream","medium/low"
"78","GB106040018150","Little Hawden Stream","Little Hawden Stream","medium/low"
"79","GB106040018200","Ditton Stream","Ditton Stream","medium/low"
"80","GB106040018450","Leybourne Stream","Leybourne Stream","medium/low"
"81","GB106040018410","Somerhill Stream","Somerhill Stream","medium/low"
"82","GB106040018120","Tudeley Brook","Tudeley Brook","medium/low"
"83","GB106040018430","Len","Len","medium/low"
"84","GB106040018190","Mereworth Stream","","medium/low"
"85","GB106040018182","Mid Medway from Eden Confluence to Yalding","Medway","medium/low"
"86","GB106040018110","Alder Stream and Hammer Dyke","Alder Stream OR Hammer Dyke","medium/low"
"87","GB30643117","Snodland Reservoir","","medium/low"
"88","GB30642424","Cliffe Pools South Lake","","medium/low"
"89","GB30642407","Cliffe Pools North Lake","","medium/low"
"90","GB106040018320","Sherway","Sherway","medium/low"
"91","GB106040018290","Hammer Stream","Hammer Stream","medium/low"
"92","GB106040018330","Ulcombe Stream","Ulcombe Stream","medium/low"
"93","GB106040018280","Upper Beult - High Halden and Bethersden Stream","","medium/low"
"94","GB106040018040","Tributary of Beult at Sutton Valance","","medium/low"
"95","GB106040018270","Beult","Beult","medium/low"
"96","GB106040018030","Tributary of Beult at Frittenden","Beult","medium/low"
"97","GB106040018140","Beult at Yalding","Beult","medium/low"
"98","GB30647024","Marden Meadow Ponds","","medium/low"
"99","GB106040018300","Upper Beult","Beult","medium/low"
"100","GB106040018340","Ray Brook","Ray Brook","medium/low"
"101","GB106040018650","Tributary of Edenbrook","Eden Brook","medium/low"
"102","GB106040018660","Eden Brook","Eden Brook","medium/low"
"103","GB106040018630","Upper Eden","Eden","medium/low"
"104","GB106040018060","Tributary of Eden at Four Elms","Eden","medium/low"
"105","GB30643602","Bough Beech Reservoir","Bough Beech Reservoir","medium/low"
"106","GB106040018640","Gibbs Brook","Gibbs Brook","medium/low"
"107","GB30643485","Bay Pond","Bay Pond","medium/low"
"108","GB106040018160","Lower Eden","Eden","medium/low"
"109","GB106040018350","Middle Eden","Eden","medium/low"
"110","GB30644023","Hedgecourt Lake","Hedgecourt Lake","medium/low"
"111","GB106040018390","Eridge Stream","Eridge Stream","medium/low"
"112","GB106040018370","Friars Gate Stream","Friars Gate Stream","medium/low"
"113","GB106040018070","Medway at Weir Wood","Medway","medium/low"
"114","GB106040013360","Jarvis Brook","","medium/low"
"115","GB106040018090","Kent Water","Kent Water","medium/low"
"116","GB106040013370","Upper Eridge Stream","Eridge Stream","medium/low"
"117","GB106040018181","Mid Medway from Hartfield to Eden Confluence","Medway","medium/low"
"118","GB106040018360","Pippingford Brook","Pippingford Brook","medium/low"
"119","GB30644310","Weir Wood Reservoir","Weir Wood Reservoir","medium/low"
"120","GB106040018400","Grom","Grom","medium/low"
"121","GB106040018080","Shovelstrode Stream","Shovelstrode Stream","medium/low"
"122","GB106040018100","Barden Mill Stream","Barden Mill Stream","medium/low"
"123","GB106039037410","Evenlode (Compton Bk to Bledington Bk) and 4 Shires","","medium/low"
"124","GB106039030010","Glyme (Enstone to Dorn)","","medium/low"
"125","GB106039029880","Evenlode (Glyme to Thames)","","medium/low"
"126","GB106039037380","Dorn (Source to Glyme)","","medium/low"
"127","GB106039030030","Heythorpe Stream and tributaries","Heythorpe Stream","medium/low"
"128","GB106039029910","Littlestock Stream to tributary of Evenlode at Shipton","Littlestock Stream","medium/low"
"129","GB106039030000","Bledington Brook (Source to Evenlode)","","medium/low"
"130","GB106039029970","Coldron and Taston Brooks","Coldron Brook OR Taston Brook","medium/low"
"131","GB106039037420","Evenlode (Source to Four Shires S) and Longborough Stream","","medium/low"
"132","GB106039029950","Westcote Brook (source to Evenlode at Bledington)","","medium/low"
"133","GB106039029940","Glyme (Dorn confluence to Evenlode)","","medium/low"
"134","GB106039029980","Sars Brook (source to Evenlode downstream Bledington)","","medium/low"
"135","GB106039037400","Cornwell Brook and tributaries (Source to Evenlode)","","medium/low"
"136","GB106039030020","Glyme (Source to Enstone)","","medium/low"
"137","GB30640488","Cornbury Park Lakes","","medium/low"
"138","GB106039037390","Little Compton Brook and tributaries (Source to Evenlode)","","medium/low"
"139","GB106039029960","Evenlode (Bledington to Glyme confluence)","","medium/low"
"140","GB30640514","Blenheim Lakes","Blenheim Lakes","medium/low"
"141","GB106039030333","Thames (Leach to Evenlode)","","medium/low"
"142","GB106039030440","Windrush and tributaries (Little Rissington to Thames)","","medium/low"
"143","GB106039030260","Highmoor Brook at Brize Norton","Highmoor Brook","medium/low"
"144","GB106039030040","Leach (Source to Thames)","","medium/low"
"145","GB106039037460","Windrush (Source to Slade Barn Stream)","","medium/low"
