"","WBID","name","mine_query","mine_noise_risk"
"393","GB106039023173","Middle Kennet (Marlborough to Hungerford)","","medium/low"
"394","GB106039017410","Burghfield Brook","Burghfield Brook","medium/low"
"395","GB106039017370","Shalbourne  (source to Kennet at Hungerford)","","medium/low"
"396","GB106039017280","Enborne (Source to downstream A34)","","medium/low"
"397","GB106039017310","Enborne (downstream A34 to Burghclere Brook)","","medium/low"
"398","GB30642611","Farnham Flint or Englefield Lagoon","Farnham Flint OR Englefield Lagoon","medium/low"
"399","GB106039017210","Penwood Stream","Penwood Stream","medium/low"
"400","GB106039017250","Ecchinswell Brook (source to Enborne)","","medium/low"
"401","GB30642622","Ameys Lake or Theale Lakes","Ameys Lake OR Theale Lakes","medium/low"
"402","GB106039023200","Aldbourne","","medium/low"
"403","GB30643126","Milford Lake","Milford Lake","medium/low"
"404","GB106039017190","Silchester Brook","Silchester Brook","medium/low"
"405","GB106039023140","Kennet and Holy Brook","","medium/low"
"406","GB106039023180","Og","Og","medium/low"
"407","GB106039017261","Enborne (Burghclere Brook to Kingsclere Brook)","","medium/low"
"408","GB106039017390","Kennet and Avon Canal and Dun above Hungerford","","medium/low"
"409","GB106039023220","Lambourn (Source to Newbury)","","medium/low"
"410","GB106039023171","Upper Kennet to Marlborough","Kennet","medium/low"
"411","GB106039017200","Baughurst Brook","Baughurst Brook","medium/low"
"412","GB106039017220","Kingsclere Brook (Source to Enborne)","","medium/low"
"413","GB106039023210","Winterbourne","Winterbourne","medium/low"
"414","GB106039017340","Lower Enborne","Enborne","medium/low"
"415","GB106039023174","Middle Kennet (Hungerford to Newbury)","","medium/low"
"416","GB106039017420","Kennet (Lambourn confluence to Enborne confluence)","","medium/low"
"417","GB106039023141","Holy Brook","Holy Brook","medium/low"
"418","GB106039017350","Upper Dun","Upper Dun","medium/low"
"419","GB106039017230","Earlstone Stream and  Burghclere Brook (source to Enborne)","","medium/low"
"420","GB106039017430","Froxfield Stream","Froxfield Stream","medium/low"
"421","GB30643001","Wasing Wood Ponds","","medium/low"
"422","GB106039023670","Berrick Stream and Lady Brook","Berrick Stream OR Lady Brook","medium/low"
"423","GB30642393","Sonning Eye gravel pit","","medium/low"
"424","GB106039023610","Ewelme Stream (Source to Thames)","","medium/low"
"425","GB106039023720","Hamble Brook","Hamble Brook","medium/low"
"426","GB106039023890","Wye (Source to High Wycombe fire station)","","medium/low"
"427","GB106039023880","Wye (High Wycombe fire station to Thames)","","medium/low"
"428","GB106039023300","Pang","Pang","medium/low"
"429","GB106039023233","Thames (Reading to Cookham)","","medium/low"
"430","GB106039023280","Sulham Brook","Sulham Brook","medium/low"
"431","GB106039030331","Thames Wallingford to Caversham","Thames","medium/low"
"432","GB106039023900","Hughenden Stream","Hughenden Stream","medium/low"
"433","GB106039023570","Cholsey Brook and tributaries","Cholsey Brook","medium/low"
"434","GB106039023600","Mill Brook and Bradfords Brook system,  Wallingford","","medium/low"
"435","GB106039030400","Dorton, Chearsley and Waddesdon Brooks","","medium/low"
"436","GB106039030410","Thame upstream of Aylesbury","Thame","medium/low"
"437","GB106039030270","Scotsgrove Brook (upstream Kingsey Cuttle Brook)","","medium/low"
"438","GB106039030240","Thame (Scotsgrove Brook to Thames)","","medium/low"
"439","GB106039023820","Baldon Brook (South of Oxford)","","medium/low"
"440","GB106039023850","Chinor Brook and Sydenham Brook","Chinor Brook OR Sydenham Brook","medium/low"
"441","GB106039030290","Peppershill and Shabbington Brooks","Peppershill Brook OR Shabbington Brook","medium/low"
"442","GB106039030380","Bear Brook and Wendover Brook","Bear Brook OR Wendover Brook","medium/low"
"443","GB106039030340","Worminghall Brook and tributaries","Worminghall Brook","medium/low"
"444","GB106039023780","Haseley Brook","Haseley Brook","medium/low"
"445","GB106039030320","Stoke Brook Aylesbury","Stoke Brook","medium/low"
"446","GB106039030370","Thame (Aylesbury to Scotsgrove Brook)","","medium/low"
"447","GB106039023830","Latchford Brook at Tetsworth","Latchford Brook","medium/low"
"448","GB106039030360","Holton Brook and tributaries","Holton Brook","medium/low"
"449","GB106039023840","Cuttle Brook","Cuttle Brook","medium/low"
"450","GB106039030430","Hardwick Brook (Source to Thame)","","medium/low"
"451","GB106039023750","Lewknor Brook","Lewknor Brook","medium/low"
"452","GB106039030420","Fleet Marston Brook, Denham Brook,  Pitchcott Brook west","","medium/low"
"453","GB106039030200","Kingsey Cuttle Brook and tributaries at Thame","Kingslye Cuttle Brook","medium/low"
"454","GB106039023740","Chalgrove Brook","Chalgrove Brook","medium/low"
"455","GB106040024150","Lower Cray","Cray","medium/low"
"456","GB106040024210","Shuttle","Shuttle","medium/low"
"457","GB106040023990","Upper Cray","Cray","medium/low"
"458","GB106040024222","Middle and Lower Darent","Darent","medium/low"
"459","GB106040024221","Upper Darent","Darent","medium/low"
"460","GB106039017640","Wandle (Carshalton Branch at Carshalton)","","medium/low"
"461","GB106039023460","Wandle (Croydon to Wandsworth) and the R. Gra","","medium/low"
"462","GB30642614","Kempton Park East Reservoir","","medium/low"
"463","GB106039023030","Crane","Crane","medium/low"
"464","GB106039023051","Yeading Brook","Yeading Brook","medium/low"
"465","GB106039023451","Portlane Brook","Portlane Brook","medium/low"
"466","GB106039022850","Beverley Brook (Motspur Park to Thames) and Pyl Brook at West Barnes","","medium/low"
"467","GB106039023500","Marsh Dykes (Woolwich)","","medium/low"
"468","GB106039023290","Quaggy","Quaggy","medium/low"
"469","GB106039023250","Pool River","Pool River","medium/low"
"470","GB106039023270","Ravensbourne (Catford to Deptford)","","medium/low"
"471","GB106039023260","Ravensbourne (Keston to Catford)","","medium/low"
"472","GB106039022940","Wealdstone Brook","Wealdstone Brook","medium/low"
"473","GB106039022970","Silk Stream and Edgware Brook","Silk Stream OR Edgware Brook","medium/low"
"474","GB106039023590","Lower Brent","Brent","medium/low"
"475","GB106039022980","Dollis Brook and Upper Brent","Dollis Brook OR Brent","medium/low"
"476","GB30641796","Bentley Priory","","medium/low"
"477","GB30641690","Welsh Harp","Welsh Harp","medium/low"
"478","GB106038077852","Lee (Tottenham Locks to Bow Locks/Three Mills Locks)","","medium/low"
"479","GB30641523","King Georges Reservoir","King Georges Reservoir","medium/low"
"480","GB30641198","North Metropolitan pit","North Metropolitan pit","medium/low"
"481","GB106038077851","Lea Navigation (Fieldes Weir to Enfield Lock)","","medium/low"
"482","GB106038027940","Pymmes Brook upstream Salmon Brook confluence","Pymmey Brook","medium/low"
"483","GB30641193","Seventy Acres","Seventy Acres","medium/low"
"484","GB106038027910","Pymmes and Salmon Brooks - Deephams STW to Tottenham Locks","","medium/low"
"485","GB30641313","Bowyers Water","Bowyers Water","medium/low"
"486","GB30641659","William Girling Reservoir","","medium/low"
"487","GB30641975","Stoke Newington East Reservoir","Stoke Newington East Reservoir","medium/low"
"488","GB30647003","Banbury Reservoir","","medium/low"
"489","GB106038027960","Salmon Brook upstream Deephams STW","Salmon Brook OR Salmons Brook","medium/low"
"490","GB30641939","Warwick Reservoir East","Warwick Reservoir East","medium/low"
"491","GB106038033210","Nazeing Brook","Nazeing Brook","medium/low"
"492","GB106038033190","Cobbins Brook","Cobbins Brook","medium/low"
"493","GB30641956","Warwick Reservoir West","Warwick Reservoir West","medium/low"
"494","GB30641274","Cheshunt Lake","Cheshunt Lake","medium/low"
"495","GB106038027920","Moselle Brook","Moselle Brook","medium/low"
"496","GB30641865","Lockwood Reservoir","Lockwood Reservoir","medium/low"
"497","GB106038033200","Small River Lee (and tributaries)","","medium/low"
"498","GB106038027930","Ching Brook","Ching Brook","medium/low"
"499","GB106038027950","Lea Navigation Enfield Lock to Tottenham Locks","Lea Navigation","medium/low"
"500","GB106038033180","Turkey Brook and Cuffley Brook","Turkey Brook OR Cuffley Brook","medium/low"
"501","GB30641900","Low Maynard Reservoir","Low Maynard Reservoir","medium/low"
"502","GB30641922","Walthamstow Reservoir No 4","","medium/low"
"503","GB30641884","High Maynard Reservoir","High Maynard Reservoir","medium/low"
"504","GB30641924","Walthamstow Reservoir No 1","","medium/low"
"505","GB106039017440","Hogsmill","Hogsmill","medium/low"
"506","GB30643125","Epsom Stew Pond","","medium/low"
"507","GB106037033490","Higher Laver Brook","Higher Laver Brook","medium/low"
"508","GB106037028140","Gores Brook","Gores Brook","medium/low"
"509","GB106037028090","Southall Sewer and Runningwater Brook","Southall Sewer OR Runningwater Brook","medium/low"
"510","GB106037033481","Cripsey Brook","Cripsey Brook","medium/low"
"511","GB106037028130","Ingrebourne","Ingrebourne","medium/low"
"512","GB106037028181","Lower Roding (Loughton to Thames)","","medium/low"
"513","GB106037028150","Brookhouse Brook","Brookhouse Brook","medium/low"
"514","GB106037028120","Rom (Bourne Brook to Ravensbourne)","","medium/low"
"515","GB106037028182","Lower Roding (Cripsey Bk to Loughton)","","medium/low"
"516","GB106037028100","Beam and Ravensbourne","Beam OR Ravensbourne","medium/low"
"517","GB106037033500","Upper Roding (to Cripsey Brook)","","medium/low"
"518","GB106037028170","Seven Kings Water","Seven Kings Water","medium/low"
"519","GB106037028171","Mayes Brook","Mayes Brook","medium/low"
"520","GB806100092","Brent Feeder Canal","Brent Feeder Canal","medium/low"
"521","GB70610078","Grand Union Canal, Uxbridge to Hanwell Locks, Slough Arm, Paddington Arm","","medium/low"
"522","GB70610183","Grand Union Canal, Wendover Arm (disused)","","medium/low"
"523","GB806100111","New River","","medium/low"
"524","GB70610510","Regents Canal, lower section","","medium/low"
"525","GB70610197","Oxford Canal, summit to Aynho","","medium/low"
"526","GB70610542","Oxford Canal, Thrupp to Thames","","medium/low"
"527","GB70610198","Oxford Canal, Aynho to Thrupp","","medium/low"
"528","GB806100002","Boddington Feeder (Oxford Canal)","","medium/low"
"529","GB70610180","Kennet and Avon Canal, Copse Lock to Reading","","medium/low"
"530","GB70610181","Kennet and Avon Canal, summit to Copse Lock","","medium/low"
"531","GB806100108","Upper Duke of Northumberland's River","","medium/low"
"532","GB806100095","Lower Duke of Northumberland's River","","medium/low"
"533","GB806100109","Longford River","Longford River","medium/low"
"534","GB70610019","Basingstoke Canal","Basingstoke Canal","medium/low"
"535","GB806100325","Jubilee River","","medium/low"
"536","GB806100096","King George VI Reservoir water transfer","","medium/low"
"537","GB70610185","Grand Union Canal, Berkhamstead to Maple Lodge (RIvers Bulbourne, Gade and Colne)","","medium/low"
"538","GB70610252","Grand Union Canal, Maple Lodge to Uxbridge (Rivers Colne and Chess plus canal)","","medium/low"
"539","GB70610184","Grand Union Canal, Tring summit to Berkhamstead","","medium/low"
"540","GB70610182","Grand Union Canal, Tring summit","","medium/low"
"541","GB106037028070","Mardyke (East Tributary)","","medium/low"
"542","GB106037028200","Mardyke","Mardyke","medium/low"
"543","GB106037028080","Mardyke (West Tributary)","","medium/low"
"544","GB106040018560","White Drain","White Drain","medium/low"
"545","GB30642956","Murston Lakes, angling lakes","","medium/low"
