"","name","WBID","risk"
"48","Upper Eden","GB106040018630","precarious"
"49","Gibbs Brook","GB106040018640","precarious"
"50","Bay Pond","GB30643485","precarious"
"51","Lower Eden","GB106040018160","precarious"
"52","Middle Eden","GB106040018350","precarious"
"53","Hedgecourt Lake","GB30644023","precarious"
"54","Eridge Stream","GB106040018390","precarious"
"55","Jarvis Brook","GB106040013360","precarious"
"56","Kent Water","GB106040018090","precarious"
"57","Pippingford Brook","GB106040018360","precarious"
"58","Grom","GB106040018400","precarious"
"59","Shovelstrode Stream","GB106040018080","precarious"
"60","Blenheim Lakes","GB30640514","precarious"
"61","Broadwell Brook","GB106039030232","precarious"
"62","Sherbourne Brook","GB106039030460","precarious"
"63","Radcot Cut","GB106039030231","precarious"
"64","Farmoor Reservoir","GB30641011","precarious"
"65","Chalvey Ditches","GB106039023550","precarious"
"66","Wraysbury Lake","GB30642430","precarious"
"67","Bull Brook","GB106039017670","precarious"
"68","Knight Reservoir","GB30642791","precarious"
"69","Salthill Stream","GB106039023530","precarious"
"70","Maidenhead Ditch","GB106039023511","precarious"
"71","Bessborough Reservoir","GB30642779","precarious"
"72","Englemere Pond","GB30642757","precarious"
"73","Littleworth Ponds","GB30647022","precarious"
"74","Quin","GB106038040120","precarious"
"75","Pincey Brook","GB106038033380","precarious"
"76","Stanstead Brook","GB106038040090","precarious"
"77","Fiddlers Brook","GB106038033260","precarious"
"78","Stevenage Brook","GB106038033410","precarious"
"79","Cannons Brook","GB106038033220","precarious"
"80","Burford Jurassic","GB40601G600400","precarious"
"81","Alton Chalk","GB40601G604400","precarious"
"82","Bicester-Otmoor Cornbrash","GB40602G600800","precarious"
"83","Guildford Chalk","GB40601G604300","precarious"
"84","Effingham Tertiaries","GB40602G601800","precarious"
"85","Shrivenham Corallian","GB40602G600600","precarious"
"86","Maidenhead Chalk","GB40601G602600","precarious"
"87","Basingstoke Chalk","GB40601G501300","precarious"
"88","Banbury Jurassic","GB40602G600200","precarious"
"89","Bromley Tertiaries","GB40602G602300","precarious"
"90","Headington Corallian","GB40602G600700","precarious"
"91","Mid-Chilterns Chalk","GB40601G601200","precarious"
"92","Radlett Tertiaries","GB40602G602800","precarious"
"93","Tackley Jurassic","GB40601G603100","precarious"
"94","Thatcham Tertiaries","GB40602G601600","precarious"
"95","Byfield Jurassic","GB40602G604200","precarious"
"96","Twyford Tertiaries","GB40602G602700","precarious"
"97","Hanwell Brook","GB106039037340","precarious"
"98","Bayswater Brook","GB106039029780","precarious"
"99","Grimsbury Reservoir","GB30639472","precarious"
"100","Gallos Brook","GB106039030130","precarious"
"101","Bletchingdon Stream","GB106039030080","precarious"
"102","Letcombe Brook","GB106039023350","precarious"
"103","Dudgrove Brook","GB106039023110","precarious"
"104","Coate Water","GB30642155","precarious"
"105","Share ditch","GB106039023680","precarious"
"106","Elkstone Brook","GB106039029790","precarious"
"107","Derry Brook","GB106039023620","precarious"
"108","Lydiard Brook","GB106039023310","precarious"
"109","Westrop Brook","GB106039023711","precarious"
"110","Ver","GB106039029920","precarious"
"111","Pinn","GB106039023070","precarious"
"112","Misbourne","GB106039029830","precarious"
"113","Surrey Ash","GB106039023480","precarious"
"114","Bulbourne","GB106039029890","precarious"
"115","Tykeswater","GB106039023100","precarious"
"116","Horton Brook","GB106039023040","precarious"
"117","Broadwater Lake","GB30641907","precarious"
"118","Alderbourne","GB106039023080","precarious"
"119","Heron Lake","GB30642538","precarious"
"120","Colne Brook","GB106039023010","precarious"
"121","Queensmead","GB30642569","precarious"
"122","Chess","GB106039029870","precarious"
"123","Wraysbury Reservoir","GB30642417","precarious"
"124","Rythe","GB106039017650","precarious"
"125","Deanoak Brook","GB106039017530","precarious"
"126","Black Pond","GB30643054","precarious"
"127","Leigh Brook","GB106039017550","precarious"
"128","Pipp Brook","GB106039017580","precarious"
"129","Burstow Stream","GB106039017520","precarious"
"130","Ifield Brook","GB106039017460","precarious"
"131","Stanford Brook","GB106039017450","precarious"
"132","Baldhorns Brook","GB106039017470","precarious"
"133","Douster Pond","GB30644358","precarious"
"134","Redhill Brook","GB106039017590","precarious"
"135","THAMES MIDDLE","GB530603911402","precarious"
"136","THAMES LOWER","GB530603911401","precarious"
"137","THAMES UPPER","GB530603911403","precarious"
