WBID,name,mine_query
GB106038033392,Lee (from Luton Hoo Lakes to Hertford),river lee OR hertford river
GB106038033281,"Stort and Navigation, B Stortford to Harlow",river stort or stortford river OR harlow river
GB106038040090,Stanstead Brook,Stanstead Brook
GB106038033282,"Stort and Navigation, Harlow to Lee ",river stort OR river harlow
GB106038033240,Lee Navigation (Hertford to Fieldes Weir),lee navigation OR hertford river OR fieldes weir water
GB106038033260,Fiddlers Brook,Fiddlers Brook
GB106038033340,Stort and Bourne Brook,Stort Brook OR Bourne Brook
GB106038033360,Rib (from confluence with Quin to Lee Navigation),river rib
GB106038040100,Ash (from Meesden to confluence with Bury Green Brook),river ash OR river meesden
GB106038033410,Stevenage Brook,Stevenage Brook
GB106038040130,Stort (at Clavering),river stort OR clavering river
GB106038033391,Lee (from Luton to Luton Hoo Lakes),river lee OR luton river
GB106038033290,Ash (from confluence with Bury Green Brook to Lee),river ash
GB106038033220,Cannons Brook,Cannons Brook
GB106038033310,Beane (from confluence with Stevenage Brook to Lee),river beane
GB106038033250,Little Hallingbury Brook,Little Hallingbury Brook
GB40602G601700,Old Basing river,Old Basing river
GB40602G602500,Greenwich river and Chalk,Greenwich river OR Greenwhich Chalk
GB40602G401000,South Essex Lower London river,South Essex Lower London river
GB40601G601100,South-West Chilterns Chalk,South-West Chilterns Chalk
GB40601G501800,West Kent Darent and Cray Chalk,West Kent Darent OR Cray Chalk
GB40601G600400,Burford river,Burford river
GB40601G604100,Chiltern Chalk Scarp,Chiltern Chalk Scarp
GB40601G604400,Alton Chalk,alton chalk stream
GB40602G600800,Bicester-Otmoor Cornbrash,bicester otmoor river
GB40602G500200,North Kent river,North Kent river
GB40601G501700,North Kent Swale Chalk,North Kent Swale Chalk stream
GB40602G601400,Chobham Bagshot Beds,Chobham Bagshot Beds river
GB40602G601300,Farnborough Bagshot Beds,Farnborough Bagshot Beds river
GB40602G502300,Kent Weald Western - Medway,kent weald western river
GB40602G602400,Copthorne Tunbridge Wells Sands,Copthorne Tunbridge Wells Sands river
GB40601G604300,Guildford Chalk,Guildford Chalk stream
GB40602G601800,Effingham river,Effingham river river
GB40601G602900,Upper Lee Chalk,Upper Lee Chalk stream
GB40602G401200,North Mymms river,North Mymms river river
GB40602G600600,Shrivenham Corallian,shrivenham river OR shrivenham stream
GB40601G602600,Maidenhead Chalk,Maidenhead Chalk stream
GB40601G501300,Basingstoke Chalk,Basingstoke Chalk stream
GB40602G600500,Kemble Forest Marble,Kemble Forest Marble river
GB40602G600200,Banbury river,Banbury river river
GB40602G602300,Bromley river,Bromley river river
GB40602G501900,West Kent river,West Kent river river
GB40602G601500,Aldermaston Bagshot Beds,Aldermaston Bagshot Beds river
GB40601G401100,South Essex Thurrock Chalk,South Essex Thurrock Chalk stream
GB40602G600700,Headington Corallian,headington river
GB40601G601200,Mid-Chilterns Chalk,Mid-Chilterns Chalk stream
GB40602G602800,Radlett river,Radlett river
